# BANG PHI IUL — NLG — KY HAN 20 NAM — hai sheet NTBC (dot 1/2)
# Nguon: Google Sheet "1. Bang quote gia IUL 2025 - 20 NAM" (Drive chu tool gui 10/08/2026)
# Doc ngay 10/08/2026. Doi chieu forum: Nu/NTBC/35t/250k = $217.00 va 45t/250k = $357.00 -> KHOP.
#
# ☠️ CHU TOOL CHOT 10/08/2026: "so drive la chuan, em co the lam theo so drive".
#    => CHEP NGUYEN VAN, KHONG SUA O NAO, ke ca 6 o duoi day da xac dinh la BAT THUONG.
#    Chung cung dang chay tren forum (da do: o 700k tuoi 33 forum tra ve dung 577.20).
#
# SAU O PHA VO QUY LUAT (phi phai ti le thang voi menh gia) — GIU NGUYEN, DUNG "SUA CHO DEP":
#   20FN tuoi 33 / 700k : 577.20  (quy luat 557.20)
#   20FN tuoi 41 / 425k : 469.40  (quy luat 496.40 — nghi dao 496->469)
#   20MN tuoi 30 / 300k : 233.70  (quy luat 242.70)
#   20MN tuoi 36 / 700k : 735.20  (quy luat 753.20 — nghi dao 753->735)
#   20MN tuoi 39 / 225k : 297.22  (quy luat 279.22 — nghi dao 279->297)
#   20MN tuoi 59 / 225k : 730.25  (quy luat 830.25)
# Neu sep sua trong Drive thi lay lai file nay, DUNG tu sua o day.
#
# DINH DANG: <ma sheet>|<tuoi>|<gia tri theo thu tu menh gia>|<tong kiem tra>
#   tong kiem tra = tong tat ca gia tri (cent, lam tron), bo qua "-"
#   "-" = o trong trong sheet = hang KHONG BAN muc do. Tuyet doi khong noi suy.
#   Kiem lai bang: node scripts/doi-bang-phi.js
#MG 20FN=100000,125000,150000,175000,200000,225000,250000,275000,300000,325000,350000,375000,400000,425000,450000,475000,500000,525000,550000,575000,600000,625000,650000,675000,700000,725000,750000,775000,800000,825000,850000,875000,1000000
#MG 20MN=100000,125000,150000,175000,200000,225000,250000,275000,300000,325000,350000,375000,400000,425000,450000,475000,500000,525000,550000,575000,600000,625000,650000,675000,700000,725000,750000,775000,800000,900000,1000000
20FN|1|25.60,32.00,38.40,44.80,51.20,57.60,64.00,70.40,76.80,83.20,89.60,96.00,102.40,108.80,115.20,121.60,128.00,134.40,140.80,147.20,153.60,160.00,166.40,172.80,179.20,185.60,192.00,198.40,204.80,211.20,217.60,224.00,256.00|424960
20FN|2|25.40,31.75,38.10,44.45,50.80,57.15,63.50,69.85,76.20,82.55,88.90,95.25,101.60,107.95,114.30,120.65,127.00,133.35,139.70,146.05,152.40,158.75,165.10,171.45,177.80,184.15,190.50,196.85,203.20,209.55,215.90,222.25,254.00|421640
20FN|3|25.30,31.62,37.95,44.27,50.60,56.92,63.25,69.57,75.90,82.22,88.55,94.87,101.20,107.52,113.85,120.17,126.50,132.82,139.15,145.47,151.80,158.12,164.45,170.77,177.10,183.42,189.75,196.07,202.40,208.72,215.05,221.37,253.00|419972
20FN|4|25.10,31.37,37.65,43.92,50.20,56.47,62.75,69.02,75.30,81.57,87.85,94.12,100.40,106.67,112.95,119.22,125.50,131.77,138.05,144.32,150.60,156.87,163.15,169.42,175.70,181.97,188.25,194.52,200.80,207.07,213.35,219.62,251.00|416652
20FN|5|24.90,31.12,37.35,43.57,49.80,56.02,62.25,68.47,74.70,80.92,87.15,93.37,99.60,105.82,112.05,118.27,124.50,130.72,136.95,143.17,149.40,155.62,161.85,168.07,174.30,180.52,186.75,192.97,199.20,205.42,211.65,217.87,249.00|413332
20FN|6|26.10,32.62,39.15,45.67,52.20,58.72,65.25,71.77,78.30,84.82,91.35,97.87,104.40,110.92,117.45,123.97,130.50,137.02,143.55,150.07,156.60,163.12,169.65,176.17,182.70,189.22,195.75,202.27,208.80,215.32,221.85,228.37,261.00|433252
20FN|7|27.30,34.12,40.95,47.77,54.60,61.42,68.25,75.07,81.90,88.72,95.55,102.37,109.20,116.02,122.85,129.67,136.50,143.32,150.15,156.97,163.80,170.62,177.45,184.27,191.10,197.92,204.75,211.57,218.40,225.22,232.05,238.87,273.00|453172
20FN|8|28.40,35.50,42.46,49.70,56.80,63.90,71.00,78.10,85.20,92.30,99.40,106.50,113.60,120.70,127.80,134.90,142.00,149.10,156.20,163.30,170.40,177.50,184.60,191.70,198.80,205.90,213.00,220.10,227.20,234.30,241.40,248.50,284.00|471426
20FN|9|29.60,37.00,44.40,51.80,59.20,66.60,74.00,81.40,88.80,96.20,103.60,111.00,118.40,125.80,133.20,140.60,148.00,155.40,162.80,170.20,177.60,185.00,192.40,199.80,207.20,214.60,222.00,229.40,236.80,244.20,251.60,259.00,296.00|491360
20FN|10|30.70,38.37,46.05,53.72,61.40,69.07,76.75,84.42,92.10,99.77,107.45,115.12,122.80,130.47,138.15,145.82,153.50,161.17,168.85,176.52,184.20,191.87,199.55,207.22,214.90,222.57,230.25,237.92,245.60,253.27,260.95,268.62,307.00|509612
